code,system
0209000C0AAADAD,bnf
0209000C0AAALAL,bnf
0209000L0AAAZAZ,bnf
0209000C0AAARAR,bnf
0209000C0AAAQAQ,bnf
0209000V0BCAAAA,bnf
0209000V0BDAAAA,bnf
0209000V0AAAAAA,bnf
0209000L0AAAMAM,bnf
0209000L0BGAAAM,bnf
0209000L0BIAAAM,bnf
0209000C0AAAPAP,bnf
0209000C0AAAFAF,bnf
0209000C0AAAIAI,bnf
0209000A0AACDCD,bnf
0209000C0AAANAN,bnf
0209000A0AABABA,bnf
0209000A0AABBBB,bnf
0209000A0AABHBH,bnf
0209000A0AABJBJ,bnf
0209000A0AAA4A4,bnf
0209000C0AAASAS,bnf
0209000A0AAAKAK,bnf
0209000A0BQAAAB,bnf
0209000Y0BCAAAA,bnf
0209000Y0BBAAAA,bnf
0209000C0AAAMAM,bnf
0209000L0AAAIAI,bnf
0209000A0BRAAAB,bnf
0209000A0BKAAAK,bnf
0209000A0AACCCC,bnf
0209000A0BPAAAK,bnf
0209000A0AAA7A7,bnf
0209000C0AAACAC,bnf
0209000A0AABGBG,bnf
0209000A0AAABAB,bnf
0209000C0BDAAAA,bnf
0209000C0AAAAAA,bnf
0209000A0BIAAAK,bnf
0209000A0BLAAAK,bnf
0209000C0AAAKAK,bnf
0209000A0BMAAAK,bnf
0209000A0AABIBI,bnf
0209000A0AAAJAJ,bnf
0209000A0BNAAAB,bnf
0209000C0AAAJAJ,bnf
0209000C0AAAEAE,bnf
0209000L0AAASAS,bnf
0209000A0AABFBF,bnf
0209000Z0AAAAAA,bnf
0209000Z0AAABAB,bnf
0209000V0BBAAAA,bnf
0209000L0BBAGAM,bnf
0209000L0BBAFAM,bnf
0209000Y0BBABAB,bnf
0209000Z0BBAAAA,bnf
0209000Z0BBABAB,bnf
0209000L0AAAQAQ,bnf
0209000L0AAABAB,bnf
0209000L0AAAUAU,bnf
0209000L0AAARAR,bnf
0209000L0AAANAN,bnf
0209000U0BBAAAB,bnf
0209000L0AAALAL,bnf
0209000A0AABEBE,bnf
0209000U0AAABAB,bnf
0209000L0AAAPAP,bnf
0209000A0BGAAAB,bnf
0209000Z0AAACAC,bnf
0209000Z0BBACAC,bnf
0209000A0AAATAT,bnf
0209000L0BHAAAM,bnf
0209000L0AAACAC,bnf
0209000A0AAA5A5,bnf
0209000L0AAAJAJ,bnf
0209000L0AAAHAH,bnf
0209000A0BGABAK,bnf
0209000A0BFAAAK,bnf
0209000L0BCABAC,bnf
0209000L0BCAAAB,bnf
0209000C0BBABAE,bnf
0209000C0BBAAAA,bnf
0209000Y0AAABAB,bnf
0209000Y0AAAAAA,bnf
0209000L0BBABAC,bnf
0209000L0BBAAAB,bnf
0209000L0AAATAT,bnf
0209000L0AAAYAY,bnf
0209000L0AAAKAK,bnf
0209000A0BCAAAJ,bnf
0209000Y0BCABAB,bnf